Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Pos Con,,,
Max Conc,Exp Time,Temp,Cell Viab
1,5,23.9,1.0672563952969
1,5,23.9,0.97670087233233
1,5,23.9,0.95431161208384
1,5,23.9,0.91876820807815
1,5,23.9,1.0829629122088
1,10,26.6,0.88838128132522
1,10,26.6,0.95500898032334
1,10,26.6,0.99690316381508
1,10,26.6,1.100870360966
1,10,26.6,1.0588362135704
1,30,26.8,0.86922754884194
1,30,26.8,0.83256106141579
1,30,26.8,1.3292037149367
1,30,26.8,1.1562783557163
1,30,26.8,0.81272931908929
1,60,26.8,0.92183919521905
1,60,26.8,1.0417858591143
1,60,26.8,1.0631586478011
1,60,26.8,0.91986870736955
1,60,26.8,1.053347590496
3,5,24.9,1.0691692896281
3,5,24.9,0.96778031586886
3,5,24.9,0.95444043521094
3,5,24.9,0.95353925652199
3,5,24.9,1.0550707027701
3,10,25.5,0.8273841847367
3,10,25.5,0.90146498505754
3,10,25.5,1.0619035705549
3,10,25.5,1.2351802219566
3,10,25.5,0.97406703769423
3,30,25,0.97998515243215
3,30,25,0.85055528934167
3,30,25,0.94139540934268
3,30,25,1.1491542467875
3,30,25,1.078909902096
3,60,24.9,0.99645957497282
3,60,24.9,1.044790970223
3,60,24.9,0.93016663739083
3,60,24.9,1.1168361860834
3,60,24.9,0.91174663132991
5,5,22.9,1.0996735301528
5,5,22.9,0.95920743651855
5,5,22.9,0.93227780801105
5,5,22.9,0.97130407605167
5,5,22.9,1.0375371492659
5,10,25.3,0.908677820856
5,10,25.3,1.1047786638559
5,10,25.3,0.98712318415857
5,10,25.3,1.0432625985256
5,10,25.3,0.95615773260389
5,30,25.1,1.029344212054
5,30,25.1,0.90850714755437
5,30,25.1,1.103830138158
5,30,25.1,1.0138177011917
5,30,25.1,0.94450080104196
5,60,24.3,0.99772782206115
5,60,24.3,1.0657583688681
5,60,24.3,0.99216139508162
5,60,24.3,0.97676564926131
5,60,24.3,0.96758676472782
7,5,24.1,0.98380778960221
7,5,24.1,0.94764686661697
7,5,24.1,0.99314605493224
7,5,24.1,1.0323131424792
7,5,24.1,1.0430861463694
7,10,26.5,1.0209868857483
7,10,26.5,0.97591220226108
7,10,26.5,0.94434295558569
7,10,26.5,1.0933578661561
7,10,26.5,0.96540009024887
7,30,25.4,0.97339621828614
7,30,25.4,1.0259551403324
7,30,25.4,0.94178928233938
7,30,25.4,1.0188953648823
7,30,25.4,1.0399639941598
7,60,25.15,1.0769022576162
7,60,25.15,0.90939721205593
7,60,25.15,0.88218213937513
7,60,25.15,1.1093612415695
7,60,25.15,1.0221571493832
10,5,27,0.99991540649013
10,5,27,0.93234621523699
10,5,27,1.116680733636
10,5,27,0.9785057052983
10,5,27,0.97255193933858
10,10,27,1.0158361024826
10,10,27,0.95220994557735
10,10,27,1.0563184274079
10,10,27,1.0191875815718
10,10,27,0.95644794296035
10,30,27,0.95690403435835
10,30,27,0.93023479224542
