Gly,DMSO,PG,EG,FA,k_pinn,loss_final
0.0,0.0,0.0,0.0,0.0,0.0006529824458993971,3.8289181247819215e-05
0.0,0.0,0.0,0.0,1.0,0.0016125530237331986,9.973402484320104e-05
0.0,0.0,0.0,0.0,3.0,0.032172802835702896,3.850438224617392e-05
0.0,0.0,0.0,0.0,5.0,0.16478019952774048,0.00014507232117466629
0.0,0.0,0.0,0.0,7.0,0.20679108798503876,0.0001242901780642569
0.0,0.0,0.0,0.0,10.0,0.21911031007766724,0.00022624315170105547
0.0,0.0,0.0,0.5,0.5,0.0014440425438806415,8.353782322956249e-05
